title,date_or_period,author_or_creator,description_or_abstract,url_to_original_object,manuscript_id_or_shelfmark,trove_category,trove_id,trove_url
Armenia,1991-2002,United States. Central Intelligence Agency,,https://nla.gov.au/nla.obj-1913197011-t,"1867714 - MAP G7150 1992, 345340 - MAP G7150 1991, MAP G7150 2002",image,16850542,https://trove.nla.gov.au/work/16850542
Armenia,1999,Maps.com (Firm),,http://site.ebrary.com/id/10002366,ILL permitted international,image,204404100,https://trove.nla.gov.au/work/204404100
Armenia / Azerbajan 2010: Itm.0140,2006,,,https://trove.nla.gov.au/work/200687989,,image,200687989,https://trove.nla.gov.au/work/200687989
Armenien : Armenia = Arménie = Armenii︠a︡ / Reise Know-How,2020,Reise Know-How Verlag,,https://trove.nla.gov.au/work/255148253,,image,255148253,https://trove.nla.gov.au/work/255148253
Hypsometric Map Europe Armenia / Maps.com(CR),1999,Maps.com(CR),,http://ebookcentral.proquest.com/lib/ucm/detail.action?docID=3329692,,image,179885413,https://trove.nla.gov.au/work/179885413
Political Map Europe Armenia / Maps.com(CR),1999,Maps.com(CR),,http://VH7QX3XE2P.search.serialssolutions.com/?V=1.0&L=VH7QX3XE2P&S=AC_T_B&C=Political%20Map%20Europe%20Armenia&T=marc&tab=BOOKS,,image,179895799,https://trove.nla.gov.au/work/179895799
Political Map Europe Armenia / Maps.com(CR),1999,Maps.com (Firm),,http://VH7QX3XE2P.search.serialssolutions.com/?V=1.0&L=VH7QX3XE2P&S=AC_T_B&C=Political%20Map%20Europe%20Armenia&T=marc&tab=BOOKS,Held,image,262630703,https://trove.nla.gov.au/work/262630703
Hypsometric Map Europe Armenia / Maps.com(CR),1999,Maps.com (Firm),,http://gold.worcester.edu/login?url=http://site.ebrary.com/lib/worcesteruniv/Doc?id=10002533,Held,image,262630519,https://trove.nla.gov.au/work/262630519
Maps of Armenia from approximately 1878 to 1970,1878-1970,,,https://trove.nla.gov.au/work/185164474,,image,185164474,https://trove.nla.gov.au/work/185164474
"International travel maps, Armenia & Azerbaijan : International travel maps, Azerbaijan & Armenia / Lan Joyce, editor in chief",2012,International Travel Maps (Firm),,https://trove.nla.gov.au/work/191865164,held,image,191865164,https://trove.nla.gov.au/work/191865164
